iter	Passed	Remaining
0	13	1957
1	20	1509
2	28	1385
3	36	1318
4	44	1276
5	51	1230
6	58	1205
7	66	1182
8	74	1165
9	81	1134
10	89	1131
11	96	1109
12	103	1093
13	111	1079
14	118	1062
15	127	1069
16	136	1068
17	144	1058
18	151	1047
19	161	1052
20	194	1193
21	205	1196
22	217	1202
23	226	1187
24	233	1168
25	245	1169
26	259	1184
27	270	1180
28	280	1171
29	290	1162
30	301	1158
31	310	1144
32	317	1126
33	325	1111
34	332	1093
35	343	1086
36	352	1075
37	359	1059
38	367	1045
39	374	1030
40	381	1015
41	388	997
42	394	981
43	401	967
44	409	954
45	417	943
46	424	929
47	432	918
48	439	905
49	446	892
50	454	881
51	464	875
52	477	873
53	486	864
54	493	852
55	502	842
56	509	830
57	516	820
58	524	808
59	532	798
60	540	788
61	547	777
62	555	766
63	562	756
64	570	746
65	578	735
66	585	725
67	593	715
68	617	725
69	632	723
70	642	714
71	651	705
72	659	695
73	679	697
74	690	690
75	712	693
76	733	695
77	746	689
78	753	677
79	762	667
80	769	655
81	775	642
82	783	632
83	789	620
84	798	610
85	805	599
86	814	589
87	821	578
88	829	568
89	837	558
90	846	548
91	853	537
92	860	527
93	868	517
94	875	506
95	882	496
96	888	485
97	895	475
98	903	465
99	912	456
100	919	446
101	926	435
102	933	425
103	939	415
104	948	406
105	954	396
106	961	386
107	969	377
108	979	368
109	984	358
110	991	348
111	996	337
112	1007	329
113	1014	320
114	1022	311
115	1026	300
116	1033	291
117	1040	282
118	1046	272
119	1053	263
120	1060	254
121	1066	244
122	1073	235
123	1079	226
124	1087	217
125	1094	208
126	1101	199
127	1105	189
128	1111	180
129	1127	173
130	1137	164
131	1143	155
132	1152	147
133	1166	139
134	1171	130
135	1178	121
136	1189	112
137	1208	105
138	1221	96
139	1229	87
140	1238	79
141	1242	70
142	1255	61
143	1266	52
144	1280	44
145	1289	35
146	1301	26
147	1317	17
148	1337	8
149	1357	0
